subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,f_name,acc,n_trials,block,session_type,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb,acc_stroop,acc_stroop_mean,resp_key
7,22,0,B,46.28811688114307,29.186793928081485,2.3144058440571538,0.4584650869314998,B,2394.7179159149528,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,5.0,6.0,big,small,False,Value,right,right,6151.365417055786,Correct,1.0,0.9875,
7,22,1,A,36.88916005835381,63.79925758485542,1.8444580029176905,1.0021563946653234,A,1324.2851659888402,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,8.0,5.0,big,small,True,Size,left,left,1464.737750007771,Correct,1.0,0.9875,
7,22,2,A,58.09533773060625,70.269173550334,2.9047668865303127,1.1037855969977777,A,1797.4002910777926,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,4.0,8.0,big,small,False,Size,left,left,943.0522080510856,Correct,1.0,0.9875,
7,22,3,A,41.55022060254634,52.1742825213904,2.077511030127317,0.8195517133775919,A,1478.0662920093164,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,2.0,6.0,big,small,False,Size,left,left,1404.9167080083862,Correct,1.0,0.9875,
7,22,4,A,30.86973670842332,59.53214176540515,1.5434868354211662,0.9351286961133146,A,1489.8623749613762,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,5.0,3.0,small,big,False,Size,right,right,1708.859041100368,Correct,1.0,0.9875,
7,22,5,B,62.10241524940434,36.03850700649464,3.105120762470217,0.5660915442897393,B,1403.240666957572,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,8.0,2.0,small,big,False,Value,left,left,1164.0802919864657,Correct,1.0,0.9875,
7,22,6,A,29.6951260801305,60.15221072963995,1.484756304006525,0.94486871662711,A,1476.823917008005,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,8.0,2.0,big,small,True,Value,left,left,979.6707089990376,Correct,1.0,0.9875,
7,22,7,B,65.32199271931867,33.66754127771609,3.266099635965934,0.52884850171252,B,994.402915937826,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,8.0,6.0,big,small,True,Value,left,left,1253.6662500351667,Correct,1.0,0.9875,
7,22,8,B,37.443245302332045,22.28917642202311,1.8721622651166023,0.3501175645099731,B,1089.0468750149012,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,5.0,4.0,small,big,False,Value,left,left,915.6040420057252,Correct,1.0,0.9875,
7,22,9,A,32.22504926035518,61.4119723329177,1.611252463017759,0.9646570056177692,A,881.9212090456858,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,2.0,5.0,small,big,True,Value,right,right,860.8175000408664,Correct,1.0,0.9875,
7,22,10,B,53.98756515934931,42.36372311175881,2.6993782579674654,0.665447806533068,B,1472.0372499432417,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,4.0,7.0,big,small,False,Size,left,left,1171.3832080131397,Correct,1.0,0.9875,
7,22,11,B,32.20238247536092,14.25107638513619,1.610119123768046,0.2238553843864542,B,826.6049589728937,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,8.0,3.0,small,big,False,Value,left,left,857.3078339686617,Correct,1.0,0.9875,
7,22,12,A,27.644651897450363,42.48435587946356,1.3822325948725185,0.6673427016170853,A,884.6816249424592,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,5.0,6.0,small,big,True,Size,right,right,925.1173749798908,Correct,1.0,0.9875,
7,22,13,A,56.70538042116691,76.46290500004561,2.8352690210583456,1.201076503101388,A,1094.6731669828296,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,3.0,8.0,big,small,False,Value,right,right,872.229625005275,Correct,1.0,0.9875,
7,22,14,A,23.562441778800643,56.08319252669248,1.178122088940032,0.8809527281585954,A,1193.2062089908868,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,3.0,5.0,big,small,False,Value,right,right,763.3676250698045,Correct,1.0,0.9875,
7,22,15,B,53.15827227873083,42.36386772269464,2.657913613936542,0.665450078076336,B,1306.4536249730736,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,2.0,4.0,big,small,False,Size,left,left,1878.6863749846816,Correct,1.0,0.9875,
7,22,16,B,74.12724397604185,42.28561230683927,3.706362198802093,0.664220844878562,B,1688.396499957889,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,5.0,3.0,small,big,False,Value,left,left,897.7535419398919,Correct,1.0,0.9875,
7,22,17,A,31.94984035972315,46.31918546893629,1.5974920179861576,0.7275800639473667,A,971.8715839553624,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,7.0,2.0,small,big,False,Size,right,right,1533.2226669415832,Correct,1.0,0.9875,
7,22,18,B,82.68860235426612,58.74926356550241,4.134430117713306,0.9228312741059642,B,1845.508624915965,Correct,sub_007_day_22_data.csv,1,320,,Dual-Task at home,8.0,5.0,small,big,False,Size,right,right,1122.7402919903398,Correct,1.0,0.9875,
