subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,f_name,acc,n_trials,block,session_type,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb,acc_stroop,acc_stroop_mean,resp_key
6,4,600,A,27.060021168145397,47.50418169276195,1.3530010584072698,0.7461939411038785,A,1169.288199977018,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,601,A,42.16395940328469,62.37695366575096,2.108197970164235,0.9798148969481706,B,539.2480000155047,Incorrect,sub_006_day_04_data.csv,0,300,24.0,Training at home,,,,,,,,,,,,,
6,4,602,B,33.373482800593564,13.202640457438848,1.6686741400296785,0.2073865913453863,B,621.3355999789201,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,603,B,70.95029778630827,56.205897394681216,3.547514889315414,0.882880171717761,B,703.2528999843635,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,604,A,34.044372856037185,67.43019120924895,1.702218642801859,1.0591909666656576,A,728.9276999945287,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,605,B,41.03838357934187,28.16197138935339,2.0519191789670934,0.4423672121369927,A,988.3972000097856,Incorrect,sub_006_day_04_data.csv,0,300,24.0,Training at home,,,,,,,,,,,,,
6,4,606,B,61.39885995975586,29.343256236640137,3.069942997987793,0.4609227911271576,B,630.3069999848958,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,607,A,18.879626619350617,41.1678183294007,0.9439813309675308,0.6466625781398224,A,1117.4885999935211,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,608,B,84.2865005476005,59.53063957888196,4.214325027380025,0.9351050998225868,B,528.3055000181776,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,609,A,17.68620462433562,41.26146408256819,0.884310231216781,0.6481335621907769,A,614.1326999932062,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,610,B,47.40284636593984,35.11437185326278,2.3701423182969923,0.5515752632481528,B,617.0435000094585,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,611,B,58.473683855241184,49.66901396154759,2.9236841927620594,0.780199046863234,B,812.707600009162,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,612,B,53.126127731611895,34.61418867300094,2.6563063865805945,0.5437184042253539,B,586.6803000099026,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,613,A,29.31081677424571,60.1183359230183,1.4655408387122857,0.944336612408988,A,584.5057000115048,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,614,A,22.513934559321363,35.436754537077434,1.1256967279660683,0.5566392386037361,A,606.1340000014752,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,615,B,71.21923358246234,59.86316307453326,3.5609616791231167,0.9403283666780072,B,680.5271999910474,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,616,A,37.89117642325487,61.76655506549058,1.8945588211627435,0.9702267781564732,A,777.4998999957461,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,617,B,87.79739774645653,69.92904732938156,4.389869887322826,1.0984429068125905,A,1138.5425000044052,Incorrect,sub_006_day_04_data.csv,0,300,24.0,Training at home,,,,,,,,,,,,,
6,4,618,A,31.556912870169555,61.40037609012079,1.5778456435084778,0.9644748522618694,A,583.3067999919876,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,619,A,61.281577869670656,73.11295012070397,3.0640788934835324,1.148455534907403,A,775.547600002028,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,620,B,58.528463145577426,37.38257983655224,2.9264231572788715,0.5872041909337322,B,546.7481999949086,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,621,A,57.85146886695195,73.55013997468762,2.892573443347598,1.155322897074898,A,844.0082999877632,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,622,B,52.50645558332327,22.21847962689616,2.6253227791661633,0.3490070618489573,B,856.0141999914777,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,623,B,78.70152964965695,46.73441421408209,3.935076482482847,0.7341024618239135,B,598.0281000083778,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,624,A,29.3949263596741,38.732490430307976,1.469746317983705,0.6084085369554626,A,753.4731999912765,Correct,sub_006_day_04_data.csv,1,300,24.0,Training at home,,,,,,,,,,,,,
6,4,625,A,53.94692141498759,76.90162590986307,2.6973460707493797,1.2079679150376816,A,826.541599992197,Correct,sub_006_day_04_data.csv,1,300,25.0,Training at home,,,,,,,,,,,,,
6,4,626,B,49.478936992888215,39.91072160902109,2.4739468496444106,0.6269161490318403,B,1126.4857999922242,Correct,sub_006_day_04_data.csv,1,300,25.0,Training at home,,,,,,,,,,,,,
6,4,627,B,86.37431166223868,61.585164143501856,4.318715583111935,0.967377496216735,B,775.0159999995958,Correct,sub_006_day_04_data.csv,1,300,25.0,Training at home,,,,,,,,,,,,,
6,4,628,B,88.89787386995097,65.51584987159406,4.444893693497549,1.0291205632514584,B,702.7422999963164,Correct,sub_006_day_04_data.csv,1,300,25.0,Training at home,,,,,,,,,,,,,
6,4,629,B,45.26310646134087,15.540442142667535,2.2631553230670436,0.2441086943447078,A,1201.8571000080556,Incorrect,sub_006_day_04_data.csv,0,300,25.0,Training at home,,,,,,,,,,,,,
6,4,630,B,88.11784932284901,61.290978384147394,4.405892466142451,0.9627564371148414,B,776.1860000027809,Correct,sub_006_day_04_data.csv,1,300,25.0,Training at home,,,,,,,,,,,,,
6,4,631,B,71.8458674922037,57.20739746151831,3.592293374610185,0.8986116979804866,B,865.1232999982312,Correct,sub_006_day_04_data.csv,1,300,25.0,Training at home,,,,,,,,,,,,,
