subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,f_name,acc,n_trials,block,session_type,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb,acc_stroop,acc_stroop_mean,resp_key
11,24,600,B,77.54376677085273,60.58653306227292,3.877188338542636,0.9516910358745586,B,987.9539581015706,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,601,A,68.63068298853388,82.2259882775369,3.4315341494266938,1.291602803534352,A,857.258831965737,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
11,24,602,B,64.7796007907755,53.523373069068555,3.238980039538775,0.8407431781456577,B,850.7209160597995,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,603,B,74.79078349752041,48.21491633087839,3.739539174876021,0.7573581346926704,B,684.8640830721706,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,604,B,37.95756384737514,28.64482752463047,1.8978781923687569,0.449951898573629,B,756.7557069705799,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,605,B,55.11559699093319,24.656459832504986,2.7557798495466597,0.3873027653666474,B,709.5439579570666,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,606,A,55.164098804231784,84.71837171076473,2.7582049402115896,1.3307530709531392,A,738.1675409851596,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
11,24,607,A,61.56106317073331,72.12971807478283,3.0780531585366657,1.1330109620462032,A,755.1895410288125,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
11,24,608,A,18.695582728458504,41.08590875556757,0.9347791364229252,0.6453759455627582,A,649.7472490882501,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
11,24,609,B,46.188633178221096,24.71782183683328,2.3094316589110546,0.3882666374766839,B,547.3392499843612,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,610,A,36.22671266905201,60.734842967638414,1.8113356334526003,0.9540206824203128,A,1494.907332933508,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
11,24,611,B,52.79797966311248,42.30568987983867,2.639898983155624,0.6645362226577461,B,1064.7854999406263,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,612,A,17.337959680910828,33.96554625088834,0.8668979840455414,0.5335295528847758,A,689.748206990771,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
11,24,613,B,37.27174115770035,24.593712896815216,1.863587057885017,0.3863171388056561,B,800.4899160005152,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,614,A,63.7311096196285,79.87299674193588,3.186555480981425,1.2546420989233364,A,778.6997909424827,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
11,24,615,B,50.91832287004341,35.34050024582521,2.5459161435021707,0.5551272797323638,B,524.5364990551025,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,616,B,60.24920775339,40.94773025972278,3.0124603876695,0.6432054428256078,B,564.0958750154823,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,d
11,24,617,A,49.85374500683422,74.59424755816694,2.492687250341711,1.171723700643978,A,779.9342500511557,Correct,sub_011_day_24_data.csv,1,600,,Button-Switch at home,,,,,,,,,,,,,k
