subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,f_name,acc,n_trials,block,session_type,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb,acc_stroop,acc_stroop_mean,resp_key
1,18,3900,A,62.35464263200237,73.98903852094249,3.1177321316001185,1.1622170993178256,A,5068.636800002423,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3901,B,39.31440973855281,12.20684594060042,1.9657204869276403,0.1917446876524633,B,854.1804999986198,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3902,A,24.738086788140436,51.22570621027016,1.2369043394070218,0.8046515115256689,A,477.9255000030389,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3903,B,56.927681712092614,32.81905163571171,2.8463840856046305,0.51552045758268,B,713.6108000122476,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3904,A,37.25539788475247,49.8881172409638,1.8627698942376236,0.7836407131281911,B,547.1231999981683,Incorrect,sub_001_day_18_data.csv,0,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3905,A,28.355782779497588,49.87459812566637,1.4177891389748791,0.7834283553616836,B,537.6755999895977,Incorrect,sub_001_day_18_data.csv,0,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3906,A,27.54266408272246,54.19598051796676,1.377133204136123,0.8513084712466994,A,832.3383000097238,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3907,A,53.71534085091906,70.67639363891453,2.685767042545953,1.1101821951911717,A,1905.4216999938944,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3908,B,70.92097743016792,58.176647206622214,3.546048871508396,0.9138366373740476,B,1720.9646999981487,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3909,A,32.04223254882215,59.49334757149069,1.6021116274411074,0.9345193183402968,A,512.3129000130575,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3910,A,57.36247528746521,65.70197913792015,2.8681237643732604,1.032044274929999,A,1382.0023000007495,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3911,B,53.54768412536168,46.58531157842519,2.6773842062680844,0.7317603630998606,A,852.93300000194,Incorrect,sub_001_day_18_data.csv,0,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3912,B,64.08449952141623,53.75002482413762,3.2042249760708112,0.8443034155888987,B,619.0260000003036,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3913,B,38.25436342338266,25.4330369610782,1.9127181711691328,0.3995012103770048,B,781.5584000054514,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3914,B,55.755708775524774,40.070513729439995,2.7877854387762384,0.6294261577898881,B,665.3313999995589,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3915,B,73.49918660192267,47.770790586872,3.674959330096134,0.7503818238194675,B,886.4614999911282,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3916,A,32.64357829060805,45.37853609978522,1.6321789145304024,0.7128043782087224,B,986.5415999956896,Incorrect,sub_001_day_18_data.csv,0,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3917,B,68.09579402794338,43.16455660591816,3.4047897013971693,0.6780272696430664,B,1170.284799998626,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3918,A,68.5505053201092,85.72166832721065,3.42752526600546,1.3465128173511292,A,1154.372199991485,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3919,B,72.38067198224036,46.48369502910969,3.6190335991120177,0.7301641740757969,B,1004.2618000006768,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3920,B,43.533871959197675,28.783713704216957,2.176693597959884,0.4521335175809992,A,974.2145999916828,Incorrect,sub_001_day_18_data.csv,0,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3921,B,73.2525848832103,48.80208688448285,3.6626292441605153,0.7665813881807104,B,759.9598999950103,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3922,B,63.58697350327264,51.62522623918466,3.1793486751636317,0.8109271574646679,B,852.6608999964083,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3923,A,45.62966331394042,56.8223570003168,2.281483165697021,0.892563496559259,A,675.5119000008563,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3924,A,51.18433143944741,65.00860430336974,2.5592165719723705,1.0211527684979609,A,475.9953000029782,Correct,sub_001_day_18_data.csv,1,300,156.0,Training at home,,,,,,,,,,,,,
1,18,3925,B,40.6441865526465,31.31974105957533,2.0322093276323248,0.4919693421254823,B,809.2707000032533,Correct,sub_001_day_18_data.csv,1,300,157.0,Training at home,,,,,,,,,,,,,
