subject,day,trial,cat,x,y,xt,yt,resp,rt,fb,f_name,acc,n_trials,block,session_type,ns_left_digit,ns_right_digit,ns_left_size,ns_right_size,ns_congruent,ns_cue,ns_correct_side,ns_resp,ns_rt,ns_fb,acc_stroop,acc_stroop_mean,resp_key
5,20,4500,B,43.94591308691204,28.414583791245192,2.197295654345602,0.4463352384669375,B,494.7440000250936,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4501,B,44.48164853779552,34.09873674502532,2.224082426889776,0.5356217042743194,B,400.5646998994053,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4502,A,50.077778221605826,77.04232076679648,2.503888911080291,1.2101779446823808,A,466.6542001068592,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4503,A,18.363699758040084,34.08067418554824,0.9181849879020042,0.5353379782535284,A,437.0098998770118,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4504,A,57.41662601992069,79.0362059287882,2.8708313009960347,1.2414978195674553,B,369.9336000718176,Incorrect,sub_005_day_16_data.csv,0,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4505,B,46.544768567667795,27.960691623267095,2.32723842838339,0.4392055169647278,B,486.2108998931944,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4506,B,81.76351237632676,61.78261715572429,4.088175618816337,0.9704790808798708,B,429.70050033181906,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4507,B,55.43620143591462,36.3888661312838,2.771810071795731,0.5715949725525181,B,401.0722003877163,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4508,A,53.31882081500932,78.22121376256332,2.665941040750466,1.228695952556729,A,411.1800999380648,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4509,B,47.17628780908018,30.76613496181242,2.358814390454009,0.4832733178769099,B,538.2184996269643,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4510,A,51.61082967546058,75.77635457674236,2.580541483773029,1.1902921942705456,A,443.2668997906149,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4511,B,34.42229199417436,22.37297836257239,1.721114599708718,0.3514339223139041,B,534.8661001771688,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4512,B,53.45698824114909,45.8440568219643,2.672849412057454,0.7201167606131805,B,450.48650028184056,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4513,B,47.30215477597503,22.761762452183245,2.3651077387987516,0.3575409285126744,B,406.5642999485135,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4514,A,15.917687150138136,45.34492494428341,0.7958843575069068,0.7122764154127067,A,407.5082000344992,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
5,20,4515,A,17.203901494040764,33.98275021151542,0.8601950747020382,0.5337997920663692,A,402.6380996219814,Correct,sub_005_day_16_data.csv,1,300,180.0,Training at home,,,,,,,,,,,,,
